time,precip1,precip2,precip3,Precip4
1997-10-01,0.05399465,0.02940131,0.2192206,0.1644252
1997-11-01,0.08656605,0.02779326,0.3105586,0.09067616
1997-12-01,0.1610239,1.271415,1.936264,0.5524773
1998-01-01,1.920948,2.401951,1.182482,1.721014
1998-02-01,0.7380498,1.356999,0.6375749,0.8668379
1998-03-01,3.373392,2.282546,1.25315,1.329995
1998-04-01,2.898966,1.465866,2.369839,2.594613
1998-05-01,2.375934,1.652857,2.355131,4.508632
1998-06-01,2.021796,1.82885,2.400629,8.106746
1998-07-01,1.532765,3.971389,3.551728,4.948707
1998-08-01,0.3209397,1.431354,2.854482,2.914874
1998-09-01,0.1575335,0.1171792,0.9221801,1.688928
1998-10-01,0.1609167,0.1114335,0.403319,0.9216794
1998-11-01,0.3388917,0.08772022,0.03261114,0.1384339
1998-12-01,0.158764,0.2156659,0.363124,0.4574196
1999-01-01,1.365095,1.156337,0.8572752,0.4803494
1999-02-01,4.10424,2.187925,1.667158,1.255972
1999-03-01,6.705351,5.144484,1.776617,0.7735981
1999-04-01,6.05382,2.477328,1.164607,2.186844
1999-05-01,4.467203,4.708953,4.054685,10.37611
1999-06-01,2.947575,0.9369945,2.022895,5.62368
1999-07-01,4.019415,1.274502,3.739079,5.524986
1999-08-01,0.7574171,0.7657207,1.668943,4.041625
1999-09-01,0.3289026,0.6034296,1.460983,3.248495
1999-10-01,0.2896322,0.7160211,2.372683,4.447558
1999-11-01,0.1511431,0.2534353,0.7231404,3.455593
1999-12-01,0.5517102,2.143831,2.362033,1.776438
2000-01-01,1.220993,2.958344,2.755533,2.262122
2000-02-01,3.634331,5.264219,4.190289,6.571693
2000-03-01,3.718455,3.68642,2.675426,3.18732
2000-04-01,7.038895,6.306671,5.003157,8.877308
2000-05-01,6.530087,3.352489,3.260121,4.043625
2000-06-01,3.780345,7.53285,7.041382,6.821156
2000-07-01,4.922467,5.529744,6.423871,4.794029
2000-08-01,1.418243,4.06371,5.227388,4.214707
2000-09-01,0.5698076,3.054766,4.682957,4.572956
2000-10-01,0.1015338,0.07692423,0.5249642,0.5731065
2000-11-01,0.05144983,0.06716106,0.6363246,1.957242
2000-12-01,0.6754596,1.501744,3.067206,3.508838
2001-01-01,1.324987,0.5179728,0.7208993,0.7270854
2001-02-01,1.911488,1.122954,1.014651,0.7962227
2001-03-01,2.852052,4.954474,4.122622,2.614654
2001-04-01,9.077214,5.416552,2.778352,3.576577
2001-05-01,1.042603,0.1892288,0.6458596,2.16759
2001-06-01,3.968164,4.492707,6.904817,8.618349
2001-07-01,1.000951,2.085332,3.769938,5.929669
2001-08-01,0.296345,0.99453,2.466594,4.647616
2001-09-01,0.2833549,0.7872472,0.9604447,2.513665
2001-10-01,0.04029801,0.4041631,2.970685,4.339635
2001-11-01,0.1413944,0.3070493,0.3844049,0.6538862
2001-12-01,0.178517,1.313584,2.264972,2.465123
2002-01-01,5.293426,7.916156,7.319284,9.76803
2002-02-01,4.214489,3.942263,3.696662,4.142646
2002-03-01,5.718335,6.619154,3.972966,2.292506
2002-04-01,10.26417,3.771337,2.41232,1.989112
2002-05-01,3.52691,3.76103,5.098278,7.351301
2002-06-01,5.699186,4.760489,6.586614,6.437643
2002-07-01,1.156965,2.182433,3.380046,3.052091
2002-08-01,0.4837446,1.264679,2.223529,2.889706
2002-09-01,0.1385469,0.118699,0.6901119,1.663616
2002-10-01,0.1978706,0.4386647,0.4361567,0.4596591
2002-11-01,0.3150954,0.9130946,0.5727403,0.288822
2002-12-01,0.1388713,0.2322074,1.185364,0.7513766
2003-01-01,3.675805,3.36852,2.024907,1.063479
2003-02-01,7.005405,4.63891,2.961439,2.277439
2003-03-01,8.685997,7.710823,4.090269,2.583773
2003-04-01,9.779489,3.801438,2.336478,2.145233
2003-05-01,5.175205,3.060485,1.90523,5.619208
2003-06-01,3.094322,3.285362,3.630115,3.616447
2003-07-01,1.058838,1.902205,2.7511,3.913584
2003-08-01,0.2385582,0.5947304,1.684705,2.575736
2003-09-01,0.3725543,0.5480283,1.925003,1.579507
2003-10-01,0.1885845,0.3271363,0.8451089,2.620428
2003-11-01,0.06313024,0.009082661,0.8529307,3.522527
2003-12-01,0.430112,0.615761,0.6901938,0.4054111
2004-01-01,10.29017,13.20822,10.2879,10.10259
2004-02-01,8.001734,9.130267,4.693877,3.531751
2004-03-01,7.438219,2.873159,1.73727,1.692515
2004-04-01,4.829891,3.12418,3.979097,2.961227
2004-05-01,4.009776,3.066218,4.990684,4.62391
2004-06-01,2.937124,5.806054,7.133384,6.31437
2004-07-01,3.765875,5.065573,4.425669,4.957481
2004-08-01,1.356084,0.9204403,2.217126,3.790509
2004-09-01,0.278072,0.6258858,1.980567,2.745312
2004-10-01,0.07483261,0.04929158,0.1182421,0.3132254
2004-11-01,0.05007297,0.09989741,0.5770944,0.475711
2004-12-01,0.4243273,0.4596611,0.3344674,0.05393752
2005-01-01,1.043335,0.5025342,0.9283286,1.097857
2005-02-01,3.446417,2.036078,2.400162,1.752252
2005-03-01,5.107065,6.243468,4.827671,2.697212
2005-04-01,4.368035,2.215118,2.317313,4.738879
2005-05-01,3.556108,5.598685,6.644675,9.793674
